종가_등락률,거래량_등락률,고가-종가_비율,종가-저가_비율,연속상승,연속하락,RSI,target
1.28,4.97,0.56,0.98,0,0,48.24,0
-0.28,19.46,0.57,1.0,0,0,47.67,1
0.28,-22.91,0.42,0.57,0,0,53.09,0
-0.14,7.28,0.57,0.28,0,1,50.0,1
-0.42,6.77,0.99,0.14,0,0,48.72,0
0.57,-29.5,0.56,0.28,1,0,50.0,0
0.14,-25.29,0.14,1.42,1,0,50.0,1
1.01,-7.53,1.27,0.14,1,0,46.75,1
0.87,-19.24,0.57,0.86,0,0,43.9,1
-0.29,-22.03,1.15,0.73,0,1,32.47,1
-3.5,120.76,2.68,0.43,0,1,42.86,0
-0.14,2.63,1.24,0.0,0,0,59.77,0
0.42,-27.82,0.69,0.42,0,0,55.7,0
-1.25,-21.06,2.06,0.14,0,1,57.89,1
-1.37,51.95,1.1,1.11,0,1,57.33,0
-1.21,-20.66,1.08,0.41,0,0,69.74,0
0.0,-16.98,0.94,0.54,0,0,72.29,0
-2.88,55.73,1.59,0.4,0,1,74.07,0
-1.8,31.68,1.93,0.13,0,0,79.41,0
0.52,-4.47,0.0,0.9,0,0,81.42,0
-0.13,-28.19,0.51,0.26,0,0,81.42,1
0.26,4.7,0.26,0.78,1,0,82.3,0
1.45,24.66,0.0,1.68,0,0,86.11,1
-1.17,1.86,1.68,0.0,0,0,82.3,1
0.52,-29.38,0.52,0.78,1,0,83.33,0
0.39,59.39,1.42,0.0,1,0,75.76,1
1.33,12.81,0.0,1.57,0,0,73.27,1
0.0,-42.6,0.4,0.66,0,0,68.52,1
-1.31,49.18,1.7,0.4,0,0,65.66,0
0.26,-10.89,0.13,0.92,0,0,65.66,0
-1.55,2.94,1.3,0.26,0,0,60.87,1
0.91,6.32,0.39,0.91,1,0,65.38,0
0.79,-21.18,0.13,0.78,0,0,51.69,1
-1.04,-4.76,1.04,0.39,0,0,39.51,1
0.13,-34.57,0.39,1.17,1,0,47.06,0
2.82,94.14,0.0,3.13,1,0,45.88,1
0.4,-16.38,1.19,0.54,0,0,37.5,1
-0.4,-8.99,0.93,0.67,0,1,40.62,1
-1.45,-25.31,2.1,0.0,0,0,36.67,0
0.13,6.2,1.17,1.06,1,0,45.36,0
3.14,8.42,0.13,2.25,1,0,46.32,1
0.83,-13.33,0.95,0.41,0,0,40.74,1
-0.55,0.9,1.62,0.28,0,1,38.6,1
-1.08,-24.07,1.75,0.0,0,1,35.19,0
-0.4,-5.66,0.94,1.08,0,1,40.35,0
-0.27,-49.49,1.2,0.27,0,1,35.24,0
-3.38,44.62,2.11,0.4,0,1,39.0,0
-1.91,40.09,1.53,0.13,0,1,54.17,0
-2.12,48.51,1.63,0.0,0,1,56.69,0
-1.6,31.18,2.67,0.12,0,0,62.24,0
0.0,16.34,0.97,0.74,0,0,75.56,0
-0.73,-27.82,1.21,0.25,0,1,77.27,0
-0.97,-27.91,1.44,0.12,0,0,77.78,0
1.84,5.35,0.24,1.33,1,0,77.27,0
2.65,107.34,0.0,2.58,1,0,69.86,1
1.02,-15.08,0.25,0.76,0,0,70.83,1
-0.63,-3.74,0.51,0.0,0,1,69.86,1
-0.25,12.69,0.5,0.25,0,0,70.07,0
0.89,11.51,0.0,1.39,0,0,68.79,0
-0.38,13.81,1.13,0.0,0,1,64.83,1
-0.63,10.35,0.88,0.0,0,1,65.07,0
-0.5,-27.89,0.75,0.13,0,0,59.2,0
1.53,2.13,0.13,1.0,0,0,55.26,0
-0.63,-0.81,0.76,0.0,0,0,42.2,1
0.0,-5.31,0.0,0.76,0,0,37.62,0
-1.0,21.14,0.25,0.25,0,1,37.62,0
-0.99,-21.12,0.37,0.38,0,0,38.83,0
1.38,18.92,0.0,1.36,0,0,38.83,0
-0.38,17.36,0.13,0.5,0,0,40.4,1
0.13,0.98,0.5,0.0,1,0,53.09,0
0.38,-57.01,0.38,0.25,0,0,58.11,1
-0.63,36.37,0.5,0.5,0,1,52.78,1
-1.11,4.18,1.6,0.0,0,1,54.67,0
-0.49,31.82,0.62,0.62,0,0,64.94,0
1.0,45.62,0.0,0.86,1,0,65.38,0
0.5,-4.82,0.5,0.5,0,0,56.79,1
